teo:RDOC_0000000000	contactInfo	owl:AnnotationProperty
teo:TEO_0000002	before	owl:ObjectProperty
teo:TEO_0000003	during	owl:ObjectProperty
teo:TEO_0000005	hasNormalizedTime	owl:DataProperty
teo:TEO_0000006	hasEndTime	owl:ObjectProperty
teo:TEO_0000007	hasValidTime	owl:ObjectProperty
teo:TEO_0000010	contain	owl:ObjectProperty
teo:TEO_0000014	start	owl:ObjectProperty
teo:TEO_0000015	hasOrigTime	owl:DataProperty
teo:TEO_0000016	after	owl:ObjectProperty
teo:TEO_0000018	equal	owl:ObjectProperty
teo:TEO_0000020	meet	owl:ObjectProperty
teo:TEO_0000022	hasDuration	owl:ObjectProperty
teo:TEO_0000028	hasStartTime	owl:ObjectProperty
teo:TEO_0000029	hasGranularity	owl:DataProperty
teo:TEO_0000037	finish	owl:ObjectProperty
teo:TEO_0000038	overlap	owl:ObjectProperty
teo:TEO_0000039	temporalRelation	owl:ObjectProperty
teo:TEO_0000040	hasDurationUnit	owl:DataProperty
teo:TEO_0000041	hasDurationValue	owl:DataProperty
teo:TEO_0000144	hasDurationPattern	owl:DataProperty
teo:TEO_0000145	overlappedBy	owl:ObjectProperty
teo:TEO_0000146	metBy	owl:ObjectProperty
teo:TEO_0000147	startedBy	owl:ObjectProperty
teo:TEO_0000148	finishedBy	owl:ObjectProperty
teo:TEO_0000149	startEqualStart	owl:ObjectProperty
teo:TEO_0000150	startBeforeStart	owl:ObjectProperty
teo:TEO_0000151	startBeforeEnd	owl:ObjectProperty
teo:TEO_0000152	startAfterStart	owl:ObjectProperty
teo:TEO_0000153	startAfterEnd	owl:ObjectProperty
teo:TEO_0000154	endBeforeStart	owl:ObjectProperty
teo:TEO_0000155	endBeforeEnd	owl:ObjectProperty
teo:TEO_0000156	endAfterStart	owl:ObjectProperty
teo:TEO_0000157	endAfterEnd	owl:ObjectProperty
teo:TEO_0000158	startEqualEnd	owl:ObjectProperty
teo:TEO_0000159	endEqualStart	owl:ObjectProperty
teo:TEO_0000160	endEqualEnd	owl:ObjectProperty
teo:TEO_0000161	hasApproximation	owl:DataProperty
teo:TEO_0000171	hasGranularity	owl:ObjectProperty
teo:TEO_0000172	hasGranularity	owl:AnnotationProperty
teo:TEO_0000173	hasApproximation	owl:AnnotationProperty
teo:TEO_0000176	hasTimeOffset	owl:AnnotationProperty
teo:TEO_0000177	hasDurationOriginForm	owl:DataProperty
teo:TEO_0000178	hasRepeatTimes	owl:DataProperty
teo:TEO_0000179	hasSeverity	owl:DataProperty
teo:TEO_0000180	hasPeriod	owl:ObjectProperty
teo:TEO_0000182	hasRepeatUnit	owl:ObjectProperty
teo:TEO_0000183	hasRepeatUnitInterval	owl:ObjectProperty
teo:TEO_0000206	hasDescription	owl:DataProperty
teo:TEO_0000212	hasAgeValue	owl:DataProperty
