ID	LABEL	Type
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Activity		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Aerobic_dance		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Amount		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Athletic_walking		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Autorepair		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Backpacking		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Badminton		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Balance_exercise		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Ball_game		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Baseball		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Basketball		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Boogieboarding		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Bowling		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Brisk		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Brisk_walking		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#By_distance		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#By_duration		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#By_hour		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#By_minute		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#By_repetition		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Calisthenic		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Camping		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Canoeing		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Cardiovascular_fitness		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Carpentry		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Cheerleading		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Chopping_vegetable		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Chopping_wood		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Chores		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Circuit_training		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Cleaning_gutter		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Clearing_table		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Clearing_walk		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Climbing		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Collecting_rubbish		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Cross_country_ski		Class
http://www.semanticweb.org/hyk038/ontologies/2018/7/untitled-ontology-17#Crunch		Class
